2019-08-02 01:11:50,676	INFO	main	<module>	Line:11	app started
2019-08-02 01:11:50,681	WARNING	_internal	_log	Line:88	 * Debugger is active!
2019-08-02 01:11:50,685	INFO	_internal	_log	Line:88	 * Debugger PIN: 223-462-634
2019-08-02 01:11:54,556	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:11:54] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-02 01:11:54,558	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:11:54] "GET /class/details/ HTTP/1.1" 200 -
2019-08-02 01:11:54,560	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:11:54] "GET /teacher/ HTTP/1.1" 200 -
2019-08-02 01:11:54,571	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:11:54] "GET /course/ HTTP/1.1" 200 -
2019-08-02 01:12:58,081	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:12:58] "OPTIONS /courseplan/ HTTP/1.1" 200 -
2019-08-02 01:12:58,136	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:12:58] "POST /courseplan/ HTTP/1.1" 200 -
2019-08-02 01:12:58,347	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:12:58] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-02 01:13:11,125	INFO	_internal	_log	Line:88	 * Detected change in '/home/long/development/classarrangement/services/daos/courseplanDAO.py', reloading
