2019-07-22 17:37:16,375	INFO	main	<module>	Line:11	app started
2019-07-22 17:37:16,380	WARNING	_internal	_log	Line:88	 * Debugger is active!
2019-07-22 17:37:16,384	INFO	_internal	_log	Line:88	 * Debugger PIN: 214-108-567
2019-07-22 17:37:18,098	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET / HTTP/1.1" 200 -
2019-07-22 17:37:18,219	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET /swagger.json HTTP/1.1" 200 -
2019-07-22 17:37:18,220	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
2019-07-22 17:37:18,323	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET / HTTP/1.1" 200 -
2019-07-22 17:37:18,379	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET /swagger.json HTTP/1.1" 200 -
2019-07-22 17:37:18,381	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
2019-07-22 17:37:18,492	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET / HTTP/1.1" 200 -
2019-07-22 17:37:18,523	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET /swagger.json HTTP/1.1" 200 -
2019-07-22 17:37:18,525	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
2019-07-22 17:37:18,772	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET / HTTP/1.1" 200 -
2019-07-22 17:37:18,801	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET /swagger.json HTTP/1.1" 200 -
2019-07-22 17:37:18,803	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
2019-07-22 17:37:18,916	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET / HTTP/1.1" 200 -
2019-07-22 17:37:18,947	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET /swagger.json HTTP/1.1" 200 -
2019-07-22 17:37:18,949	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:18] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
2019-07-22 17:37:25,568	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:25] "GET /class/details/1 HTTP/1.1" 200 -
2019-07-22 17:37:33,075	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:33] "GET /class/details/2 HTTP/1.1" 200 -
2019-07-22 17:37:36,687	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:36] "GET /class/details/1 HTTP/1.1" 200 -
2019-07-22 17:37:39,901	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:39] "GET /class/details/4 HTTP/1.1" 200 -
2019-07-22 17:37:42,496	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:42] "GET /class/details/2 HTTP/1.1" 200 -
2019-07-22 17:37:46,524	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:46] "GET /class/details/1 HTTP/1.1" 200 -
2019-07-22 17:37:50,562	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:37:50] "GET /class/details/2 HTTP/1.1" 200 -
2019-07-22 17:38:38,989	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:38:38] "GET / HTTP/1.1" 200 -
2019-07-22 17:38:39,021	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:38:39] "GET /swagger.json HTTP/1.1" 200 -
